,map_id,station_x,community_id,lat,long,station_y,city,line,community_name,2019,2020,2021,2022,pct_19in22,pct_19in22viz
51,40560,Jackson (Red Line),38,41.878153,-87.627596,Jackson (Red Line),Chicago,Red,LOOP,2601587,769130,680901,959018,37.0,50653.0
52,40570,California (Blue Line),23,41.921939,-87.69689,California (Blue Line),Chicago,Blue,LOGAN SQUARE,1702462,511205,552649,764325,45.0,91125.0
53,40580,54th/Cermak (Pink Line),,41.85177331,-87.75669201,54th/Cermak (Pink Line),Cicero,Pink,,647566,299853,340420,419958,65.0,274625.0
54,40590,Damen (Blue Line),25,41.909744,-87.677437,Damen (Blue Line),Chicago,Blue,WEST TOWN,2023150,582967,705715,947465,47.0,103823.0
55,40600,Kostner (Pink Line),30,41.853751,-87.733258,Kostner (Pink Line),Chicago,Pink,NORTH LAWNDALE,144034,69864,65197,73788,51.0,132651.0
56,40610,Ridgeland (Green Line),,41.887159,-87.783661,Ridgeland (Green Line),Oak Park,Green,,386792,122683,118205,159921,41.0,68921.0
57,40630,Clark/Division (Red Line),37,41.90392,-87.631412,Clark/Division (Red Line),Chicago,Red,NEAR NORTH SIDE,2452981,836745,1077615,1330609,54.0,157464.0
58,40650,North/Clybourn (Red Line),37,41.910655,-87.649177,North/Clybourn (Red Line),Chicago,Red,NEAR NORTH SIDE,1780616,609284,672823,852006,48.0,110592.0
59,40660,Armitage (Brown & Purple lines),68,41.918217,-87.652644,Armitage (Brown & Purple lines),Chicago,Multi,LINCOLN PARK,1243651,378662,458986,690995,56.0,175616.0
60,40670,Western (Blue Line - O'Hare Branch),23,41.916157,-87.687364,Western (Blue Line - O'Hare Branch),Chicago,Blue,LOGAN SQUARE,1649428,509566,533788,759911,46.0,97336.0
61,40680,"Adams/Wabash (Brown, Green, Orange, Pink & Purple lines)",38,41.879507,-87.626037,"Adams/Wabash (Brown, Green, Orange, Pink & Purple lines)",Chicago,Multi,LOOP,2087483,636466,672625,1083952,52.0,140608.0
62,40690,Dempster (Purple Line),,42.041655,-87.681602,Dempster (Purple Line),Evanston,Purple,,258934,96449,102300,129295,50.0,125000.0
63,40700,Laramie (Green Line),26,41.887163,-87.754986,Laramie (Green Line),Chicago,Green,AUSTIN,337121,169442,147505,168788,50.0,125000.0
64,40710,Chicago (Brown & Purple lines),37,41.89681,-87.635924,Chicago (Brown & Purple lines),Chicago,Multi,NEAR NORTH SIDE,1993375,666784,693333,981371,49.0,117649.0
